,player,Pos,birth_country,
986,Achref Abada,DF,Algeria,
987,Adil Boulbina,FW,Algeria,
989,Amine Gouiri,FW,France,
990,Anis Hadj Moussa,FW,France,
988,Aï¿½ï¿½ssa Mandi (vice-capt,DF,France,
991,Farï¿½ï¿½s Cha,MF,France,
992,Farï¿½ï¿½s Ghedj,FW,France,
993,Hicham Boudaoui,MF,Algeria,
994,Houssem Aouar,MF,France,
995,Ibrahim Maza,MF,Germany,
996,Jaouen Hadjam,DF,France,
997,Luca Zidane,GK,France,
998,Melvin Mastil,GK,France,
999,Mohamed Amine Tougai,DF,Algeria,
1000,Mohamed Amoura,FW,Algeria,
1001,Nabil Bentaleb,MF,France,
1002,Nadhir Benbouali,FW,Algeria,
1003,Oussama Benbot,GK,Algeria,
1004,Rafik Belghali,DF,Belgium,
1005,Ramiz Zerrouki,MF,Netherlands,
1006,Ramy Bensebaini (third captain),DF,Algeria,
1007,Rayan Aï¿½ï¿½t-N,DF,France,
1008,Riyad Mahrez (captain),FW,France,
1009,Samir Chergui,DF,France,
1010,Yacine Titraoui,MF,Algeria,
1011,Zineddine Belaï¿½,DF,Algeria,
936,Alexis Mac Allister,MF,Argentina,
937,Cristian Romero,DF,Argentina,
938,Emiliano Martï¿½ï¿,GK,Argentina,
939,Enzo Fernï¿½ï¿½,MF,Argentina,
940,Exequiel Palacios,MF,Argentina,
941,Facundo Medina,DF,Argentina,
942,Gerï¿½ï¿½nimo R,GK,Argentina,
943,Giovani Lo Celso,MF,Argentina,
944,Giuliano Simeone,FW,Italy,
945,Gonzalo Montiel,DF,Argentina,
946,Josï¿½ï¿½ Manuel Lï,FW,Argentina,
947,Juan Musso,GK,Argentina,
948,Juliï¿½ï¿½n Alv,FW,Argentina,
949,Lautaro Martï¿½ï¿,FW,Argentina,
950,Leandro Paredes,MF,Argentina,
951,Lionel Messi (Captain),FW,Argentina,
952,Lisandro Martï¿½ï¿,DF,Argentina,
953,Marcos Senesi,,Argentina,
954,Nahuel Molina,DF,Argentina,
955,Nico Paz,FW,Spain,
956,Nicolï¿½ï¿½s Gonzï,FW,Argentina,
957,Nicolï¿½ï¿½s Otam,DF,Argentina,
958,Nicolï¿½ï¿½s Taglia,DF,Argentina,
959,Rodrigo De Paul,MF,Argentina,
960,Thiago Almada,FW,Argentina,
390,Valentï¿½ï¿½n B,MF,Argentina,
391,Aiden O'Neill,MF,Australia,
392,Ajdin Hrustiï¿,MF,Australia,
393,Alessandro Circati,DF,Italy,
394,Awer Mabil,FW,Kenya,
395,Aziz Behich,DF,Australia,
396,Cameron Burgess,DF,Scotland,
397,Cammy Devlin,MF,Australia,
398,Connor Metcalfe,MF,Australia,
399,Cristian Volpato,FW,Australia,
400,Harry Souttar,DF,Scotland,
401,Jackson Irvine,MF,Australia,
402,Jacob Italiano,DF,Australia,
403,Jason Geria,DF,Australia,
404,Jordan Bos,DF,Australia,
405,Kai Trewin,DF,Australia,
406,Lucas Herrington,DF,Australia,
407,Mathew Leckie,FW,Australia,
408,Mathew Ryan (captain),GK,Australia,
409,Miloï¿½ï¿½ Deg,DF,Croatia,
410,Mohamed Tourï¿,FW,Guinea,
411,Nestory Irankunda,FW,Tanzania,
412,Nishan Velupillay,FW,Australia,
413,Patrick Beach,GK,Australia,
414,Paul Izzo,GK,Australia,
415,Paul Okon-Engstler,MF,Belgium,
961,Tete Yengi,FW,Australia,
962,Alessandro Schï¿½ï,MF,Austria,
963,Alexander Prass,DF,Austria,
964,Alexander Schlager,GK,Austria,
965,Carney Chukwuemeka,MF,Austria,
966,David Affengruber,DF,Austria,
967,David Alaba (captain),DF,Austria,
968,Dejan Ljubiï¿½ï¿,,Austria,
969,Florian Grillitsch,MF,Austria,
970,Florian Wiegele,GK,Austria,
971,Kevin Danso,DF,Austria,
972,Konrad Laimer,MF,Austria,
973,Marcel Sabitzer (third captain),MF,Austria,
974,Marco Friedl,DF,Austria,
975,Marko Arnautoviï¿½ï¿½ (vice-capt,FW,Austria,
976,Michael Gregoritsch,FW,Austria,
977,Michael Svoboda,DF,Austria,
978,Nicolas Seiwald,MF,Austria,
979,Patrick Pentz,GK,Austria,
980,Patrick Wimmer,MF,Austria,
981,Paul Wanner,MF,Austria,
982,Philipp Lienhart,DF,Austria,
983,Phillipp Mwene,DF,Austria,
984,Romano Schmid,MF,Austria,
985,Saï¿½ï¿½a Kalajdï,FW,Austria,
624,Stefan Posch,DF,Austria,
625,Xaver Schlager,MF,Austria,
626,Alexis Saelemaekers,FW,Belgium,
627,Amadou Onana,MF,Senegal,
628,Arthur Theate,DF,Belgium,
629,Axel Witsel,MF,Belgium,
630,Brandon Mechele,DF,Belgium,
631,Charles De Ketelaere,FW,Belgium,
632,Diego Moreira,FW,Belgium,
634,Dodi Lukï¿½ï¿½b,FW,Belgium,
633,Hans Vanaken,MF,Belgium,
635,Joaquin Seys,DF,Belgium,
636,Jï¿½ï¿½rï¿½ï¿,FW,Belgium,
637,Kevin De Bruyne,MF,Belgium,
638,Koni De Winter,DF,Belgium,
639,Leandro Trossard,FW,Belgium,
640,Matias Fernandez-Pardo,FW,Belgium,
641,Maxim De Cuyper,DF,Belgium,
642,Mike Penders,GK,Belgium,
643,Nathan Ngoy,DF,Belgium,
644,Nicolas Raskin,MF,Belgium,
645,Romelu Lukaku (vice-captain),FW,Belgium,
646,Senne Lammens,GK,Belgium,
647,Thibaut Courtois,GK,Belgium,
648,Thomas Meunier,DF,Belgium,
649,Timothy Castagne,DF,Belgium,
104,Youri Tielemans (captain),MF,Belgium,
